x,y,pet
410798,5477425,null
410799,5477425,null
410800,5477425,null
410801,5477425,null
410802,5477425,null
410803,5477425,null
410804,5477425,null
410805,5477425,41.89
410806,5477425,41.89
410807,5477425,41.89
410808,5477425,41.89
410809,5477425,41.89
410810,5477425,41.89
410811,5477425,41.89
410812,5477425,41.89
410813,5477425,41.89
410814,5477425,41.89
410815,5477425,41.87
410816,5477425,41.83
410817,5477425,41.79
410818,5477425,41.75
410819,5477425,41.71
410820,5477425,41.66
410821,5477425,41.62
410822,5477425,41.58
410823,5477425,41.54
410824,5477425,41.50
410825,5477425,null
410826,5477425,null
410827,5477425,null
410828,5477425,null
410829,5477425,null
410830,5477425,null
410831,5477425,null
410832,5477425,null
410833,5477425,null
410834,5477425,null
410835,5477425,null
410836,5477425,null
410837,5477425,null
410838,5477425,null
410839,5477425,null
410840,5477425,null
410841,5477425,null
410842,5477425,null
410843,5477425,null
410844,5477425,null
410845,5477425,null
410846,5477425,null
410847,5477425,null
410848,5477425,null
410849,5477425,null
410850,5477425,null
410851,5477425,null
410852,5477425,null
410853,5477425,null
410854,5477425,null
410855,5477425,40.55
410856,5477425,39.75
410857,5477425,38.94
410858,5477425,38.14
410859,5477425,37.33
410860,5477425,36.52
410861,5477425,35.72
410862,5477425,34.91
410863,5477425,34.11
410864,5477425,33.30
410865,5477425,32.88
410866,5477425,32.83
410867,5477425,32.78
410868,5477425,32.73
410869,5477425,32.68
410870,5477425,32.64
410871,5477425,32.59
410872,5477425,32.54
410873,5477425,32.49
410874,5477425,32.44
410875,5477425,32.85
410876,5477425,33.71
410877,5477425,34.58
410878,5477425,35.44
410879,5477425,36.31
410880,5477425,37.17
410881,5477425,38.04
410882,5477425,38.90
410883,5477425,39.76
410884,5477425,40.63
410885,5477425,41.06
410886,5477425,41.06
410887,5477425,41.06
410888,5477425,41.06
410889,5477425,41.06
410570,5477426,null
410571,5477426,null
410572,5477426,null
410573,5477426,null
410574,5477426,null
410575,5477426,null
410576,5477426,null
410577,5477426,null
410578,5477426,null
410579,5477426,null
410580,5477426,null
410581,5477426,null
410582,5477426,null
410583,5477426,null
410584,5477426,null
410585,5477426,null
410586,5477426,null
410587,5477426,null
410588,5477426,null
410589,5477426,null
410590,5477426,null
410591,5477426,null
410592,5477426,null
410593,5477426,null
410594,5477426,null
410595,5477426,null
410596,5477426,null
410597,5477426,null
410598,5477426,null
410599,5477426,null
410600,5477426,null
410601,5477426,null
410602,5477426,null
410603,5477426,null
410604,5477426,null
410605,5477426,43.31
410606,5477426,43.31
410607,5477426,43.31
410608,5477426,43.31
410609,5477426,43.31
410610,5477426,43.31
410611,5477426,43.31
410612,5477426,43.31
410613,5477426,43.31
410614,5477426,43.31
410615,5477426,null
410616,5477426,null
410617,5477426,null
410618,5477426,null
410619,5477426,null
410620,5477426,null
410621,5477426,null
410622,5477426,null
410623,5477426,null
410624,5477426,null
410625,5477426,null
410626,5477426,null
410627,5477426,null
410628,5477426,null
410629,5477426,null
410630,5477426,null
410631,5477426,null
410632,5477426,null
410633,5477426,null
410634,5477426,null
410635,5477426,null
410636,5477426,null
410637,5477426,null
410638,5477426,null
410639,5477426,null
410640,5477426,null
410641,5477426,null
410642,5477426,null
410643,5477426,null
410644,5477426,null
410645,5477426,null
410646,5477426,null
410647,5477426,null
410648,5477426,null
410649,5477426,null
410650,5477426,null
410651,5477426,null
410652,5477426,null
410653,5477426,null
410654,5477426,null
410655,5477426,null
410656,5477426,null
410657,5477426,null
410658,5477426,null
410659,5477426,null
410660,5477426,null
410661,5477426,null
410662,5477426,null
410663,5477426,null
410664,5477426,null
410665,5477426,42.98
410666,5477426,42.98
410667,5477426,42.98
410668,5477426,42.98
410669,5477426,42.98
410670,5477426,42.98
410671,5477426,42.98
410672,5477426,42.98
410673,5477426,42.98
410674,5477426,42.98
410675,5477426,null
410676,5477426,null
410677,5477426,null
410678,5477426,null
410679,5477426,null
410680,5477426,null
410681,5477426,null
410682,5477426,null
410683,5477426,null
410684,5477426,null
410685,5477426,42.76
410686,5477426,42.76
410687,5477426,42.76
410688,5477426,42.76
410689,5477426,42.76
410690,5477426,42.76
410691,5477426,42.76
410692,5477426,42.76
410693,5477426,42.76
410694,5477426,42.76
410695,5477426,42.78
410696,5477426,42.83
410697,5477426,42.87
410698,5477426,42.92
410699,5477426,42.96
410700,5477426,43.01
410701,5477426,43.05
410702,5477426,43.10
410703,5477426,43.14
410704,5477426,43.19
410705,5477426,null
410706,5477426,null
410707,5477426,null
410708,5477426,null
410709,5477426,null
410710,5477426,null
410711,5477426,null
410712,5477426,null
410713,5477426,null
410714,5477426,null
410715,5477426,null
410716,5477426,null
410717,5477426,null
410718,5477426,null
410719,5477426,null
410720,5477426,null
410721,5477426,null
410722,5477426,null
410723,5477426,null
